# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
NA vs. Caucasian	Hispanic_Latino vs. Multi_racial	-4.57276735228	2.35594365342e-05	0.00888190757339	0.001	0.377
NA vs. Caucasian	Hispanic_Latino vs. Asian	-1.94030650559	0.0541933603134	1	0.049	1.000
NA vs. Caucasian	Hispanic_Latino vs. Caucasian	-2.05273919243	0.0405774423466	1	0.040	1.000
NA vs. Caucasian	Hispanic_Latino vs. Caucasian/African American	0.00223201423631	0.998228558761	1	0.997	1.000
NA vs. Caucasian	Multi_racial vs. Asian	-6.25859122549	1.00848044731e-07	3.80197128636e-05	0.001	0.377
NA vs. Caucasian	Multi_racial vs. Caucasian	-4.78071868776	6.01699475903e-06	0.00226840702415	0.001	0.377
NA vs. Caucasian	Multi_racial vs. Caucasian/African American	-1.84328958849	0.0740185027549	1	0.062	1.000
NA vs. Caucasian	Asian vs. Caucasian	-4.44279386795	1.24513113542e-05	0.00469414438053	0.001	0.377
NA vs. Caucasian	Asian vs. Caucasian/African American	-1.69846722486	0.0971866474442	1	0.100	1.000
NA vs. Caucasian	Caucasian vs. Caucasian/African American	-4.54880565134	2.37063085921e-05	0.00893727833922	0.001	0.377
NA vs. Caucasian/African American	African_American vs. Hispanic_Latino	1.86802969472	[ 0.06236827]	1	0.093	1.000
NA vs. Caucasian/African American	African_American vs. Multi_racial	1.69375755784	[ 0.0952505]	1	0.072	1.000
NA vs. Caucasian/African American	African_American vs. Asian	0.766470257719	[ 0.44410551]	1	0.523	1.000
NA vs. Caucasian/African American	African_American vs. Caucasian	1.59991053112	[ 0.10990902]	1	0.123	1.000
NA vs. Caucasian/African American	African_American vs. Caucasian/African American	1.23961467274	[ 0.22442045]	1	0.337	1.000
NA vs. Caucasian/African American	Hispanic_Latino vs. Multi_racial	1.41089970546	[ 0.1689123]	1	0.154	1.000
NA vs. Caucasian/African American	Hispanic_Latino vs. Asian	1.00400222367	[ 0.31741472]	1	0.307	1.000
NA vs. Caucasian/African American	Hispanic_Latino vs. Caucasian	1.32832648519	[ 0.18466554]	1	0.215	1.000
NA vs. Caucasian/African American	Hispanic_Latino vs. Caucasian/African American	1.54352378943	[ 0.14500181]	1	0.117	1.000
NA vs. Caucasian/African American	Multi_racial vs. Asian	0.196252079142	[ 0.84704694]	1	0.947	1.000
NA vs. Caucasian/African American	Multi_racial vs. Caucasian	1.60421462155	[ 0.11337069]	1	0.050	1.000
NA vs. Caucasian/African American	Multi_racial vs. Caucasian/African American	1.69324758302	[ 0.33961439]	1	0.673	1.000
NA vs. Caucasian/African American	Asian vs. Caucasian	0.429384556364	[ 0.66798456]	1	0.690	1.000
NA vs. Caucasian/African American	Asian vs. Caucasian/African American	1.43331461822	[ 0.19488213]	1	0.352	1.000
NA vs. Caucasian/African American	Caucasian vs. Caucasian/African American	0.556412504201	[ 0.5816827]	1	0.681	1.000
African_American vs. Hispanic_Latino	African_American vs. Multi_racial	-3.66348140254	0.000273246428617	0.103013903589	0.001	0.377
African_American vs. Hispanic_Latino	African_American vs. Asian	-7.64101265269	6.7448462461e-14	2.54280703478e-11	0.001	0.377
African_American vs. Hispanic_Latino	African_American vs. Caucasian	-3.41836351607	0.000646140761158	0.243595066956	0.002	0.754
African_American vs. Hispanic_Latino	African_American vs. Caucasian/African American	-3.25831949963	0.00119544321739	0.450682092956	0.001	0.377
African_American vs. Hispanic_Latino	Hispanic_Latino vs. Multi_racial	-4.35084426653	1.63997405796e-05	0.0061827021985	0.001	0.377
African_American vs. Hispanic_Latino	Hispanic_Latino vs. Asian	-3.96818268219	8.12163786037e-05	0.0306185747336	0.001	0.377
African_American vs. Hispanic_Latino	Hispanic_Latino vs. Caucasian	-5.27128499191	1.66370120564e-07	6.27215354528e-05	0.001	0.377
African_American vs. Hispanic_Latino	Hispanic_Latino vs. Caucasian/African American	0.178534434785	0.858376621674	1	0.865	1.000
African_American vs. Hispanic_Latino	Multi_racial vs. Asian	-6.42690732014	3.07083048679e-10	1.15770309352e-07	0.001	0.377
African_American vs. Hispanic_Latino	Multi_racial vs. Caucasian	-5.50668870624	5.6362483798e-08	2.12486563919e-05	0.001	0.377
African_American vs. Hispanic_Latino	Multi_racial vs. Caucasian/African American	-1.34368300604	0.17968574346	1	0.178	1.000
African_American vs. Hispanic_Latino	Asian vs. Caucasian	-12.5209408284	8.48185468765e-33	3.19765921725e-30	0.001	0.377
African_American vs. Hispanic_Latino	Asian vs. Caucasian/African American	-1.33661187721	0.181974738824	1	0.188	1.000
African_American vs. Hispanic_Latino	Caucasian vs. Caucasian/African American	-6.23097338118	9.68608587115e-10	3.65165437342e-07	0.001	0.377
African_American vs. Multi_racial	African_American vs. Asian	-1.1898762642	0.234982615625	1	0.217	1.000
African_American vs. Multi_racial	African_American vs. Caucasian	2.13436064453	0.0330242681143	1	0.025	1.000
African_American vs. Multi_racial	African_American vs. Caucasian/African American	-0.612542855905	0.541657683551	1	0.540	1.000
African_American vs. Multi_racial	Hispanic_Latino vs. Multi_racial	-1.88308459596	0.0628483396797	1	0.060	1.000
African_American vs. Multi_racial	Hispanic_Latino vs. Asian	0.179072284622	0.858080137054	1	0.875	1.000
African_American vs. Multi_racial	Hispanic_Latino vs. Caucasian	0.808349908554	0.419225239813	1	0.432	1.000
African_American vs. Multi_racial	Hispanic_Latino vs. Caucasian/African American	2.03725547723	0.0450606481589	1	0.044	1.000
African_American vs. Multi_racial	Multi_racial vs. Asian	-4.69462516934	1.12331419329e-05	0.00423489450871	0.001	0.377
African_American vs. Multi_racial	Multi_racial vs. Caucasian	-1.59739683392	0.112605199028	1	0.104	1.000
African_American vs. Multi_racial	Multi_racial vs. Caucasian/African American	-0.812854674864	0.419314942989	1	0.489	1.000
African_American vs. Multi_racial	Asian vs. Caucasian	-3.44439969685	0.000645258804697	0.243262569371	0.001	0.377
African_American vs. Multi_racial	Asian vs. Caucasian/African American	0.00641218355227	0.994902092046	1	0.994	1.000
African_American vs. Multi_racial	Caucasian vs. Caucasian/African American	-3.03856580569	0.00306223778441	1	0.005	1.000
African_American vs. Asian	African_American vs. Caucasian	6.47629328163	1.31578303808e-10	4.96050205356e-08	0.001	0.377
African_American vs. Asian	African_American vs. Caucasian/African American	0.420207302991	0.674649545309	1	0.683	1.000
African_American vs. Asian	Hispanic_Latino vs. Multi_racial	-0.34844606095	0.727763374671	1	0.749	1.000
African_American vs. Asian	Hispanic_Latino vs. Asian	1.63142054645	0.103643333599	1	0.111	1.000
African_American vs. Asian	Hispanic_Latino vs. Caucasian	3.60226568092	0.000335870037951	0.126623004307	0.002	0.754
African_American vs. Asian	Hispanic_Latino vs. Caucasian/African American	1.90784895402	0.057475437102	1	0.052	1.000
African_American vs. Asian	Multi_racial vs. Asian	-2.41941362129	0.0162066134881	1	0.016	1.000
African_American vs. Asian	Multi_racial vs. Caucasian	0.0953698460059	0.924080389154	1	0.910	1.000
African_American vs. Asian	Multi_racial vs. Caucasian/African American	-0.22495570186	0.822193195424	1	0.843	1.000
African_American vs. Asian	Asian vs. Caucasian	-3.50747748606	0.000491088408177	0.185140329883	0.001	0.377
African_American vs. Asian	Asian vs. Caucasian/African American	0.436805983698	0.662611833798	1	0.669	1.000
African_American vs. Asian	Caucasian vs. Caucasian/African American	-1.54738052635	0.122869641145	1	0.116	1.000
African_American vs. Caucasian	African_American vs. Caucasian/African American	-2.14101401064	0.0324886546145	1	0.033	1.000
African_American vs. Caucasian	Hispanic_Latino vs. Multi_racial	-3.19176561377	0.00145353058765	0.547981031544	0.001	0.377
African_American vs. Caucasian	Hispanic_Latino vs. Asian	-2.38655328998	0.0171605916505	1	0.021	1.000
African_American vs. Caucasian	Hispanic_Latino vs. Caucasian	-2.87238471905	0.00412770488803	1	0.007	1.000
African_American vs. Caucasian	Hispanic_Latino vs. Caucasian/African American	0.881907326511	0.378019415827	1	0.410	1.000
African_American vs. Caucasian	Multi_racial vs. Asian	-5.4791728079	5.2933227913e-08	1.99558269232e-05	0.001	0.377
African_American vs. Caucasian	Multi_racial vs. Caucasian	-3.87115084793	0.000114395417448	0.0431270723779	0.001	0.377
African_American vs. Caucasian	Multi_racial vs. Caucasian/African American	-1.02266662042	0.306692827551	1	0.350	1.000
African_American vs. Caucasian	Asian vs. Caucasian	-12.4310905797	1.11565019007e-33	4.20600121658e-31	0.001	0.377
African_American vs. Caucasian	Asian vs. Caucasian/African American	-0.760482548649	0.44713006213	1	0.438	1.000
African_American vs. Caucasian	Caucasian vs. Caucasian/African American	-5.09722907701	4.04337005535e-07	0.000152435051087	0.001	0.377
African_American vs. Caucasian/African American	Hispanic_Latino vs. Multi_racial	-0.939472816326	0.351254877513	1	0.333	1.000
African_American vs. Caucasian/African American	Hispanic_Latino vs. Asian	0.568702151983	0.570408760971	1	0.551	1.000
African_American vs. Caucasian/African American	Hispanic_Latino vs. Caucasian	1.14622532982	0.252209595676	1	0.252	1.000
African_American vs. Caucasian/African American	Hispanic_Latino vs. Caucasian/African American	1.9093749008	0.062601943754	1	0.063	1.000
African_American vs. Caucasian/African American	Multi_racial vs. Asian	-3.23835628654	0.00223402446248	0.842227222357	0.003	1.000
African_American vs. Caucasian/African American	Multi_racial vs. Caucasian	-0.547700706807	0.585142716732	1	0.589	1.000
African_American vs. Caucasian/African American	Multi_racial vs. Caucasian/African American	-0.488539611563	0.628499041343	1	0.612	1.000
African_American vs. Caucasian/African American	Asian vs. Caucasian	-2.04467921378	0.0417532390705	1	0.037	1.000
African_American vs. Caucasian/African American	Asian vs. Caucasian/African American	0.303392105035	0.763245971697	1	0.762	1.000
African_American vs. Caucasian/African American	Caucasian vs. Caucasian/African American	-1.85102771102	0.0687809507323	1	0.061	1.000
Hispanic_Latino vs. Multi_racial	Hispanic_Latino vs. Asian	1.36324469329	0.174875681462	1	0.176	1.000
Hispanic_Latino vs. Multi_racial	Hispanic_Latino vs. Caucasian	2.1358626559	0.0331413958178	1	0.028	1.000
Hispanic_Latino vs. Multi_racial	Hispanic_Latino vs. Caucasian/African American	2.95010534796	0.00512307404639	1	0.008	1.000
Hispanic_Latino vs. Multi_racial	Multi_racial vs. Asian	-3.00516901067	0.00437094410698	1	0.001	0.377
Hispanic_Latino vs. Multi_racial	Multi_racial vs. Caucasian	0.719750887796	0.473427036592	1	0.489	1.000
Hispanic_Latino vs. Multi_racial	Multi_racial vs. Caucasian/African American	-0.267624506152	0.790819790943	1	0.792	1.000
Hispanic_Latino vs. Multi_racial	Asian vs. Caucasian	-1.27932041836	0.201772825122	1	0.181	1.000
Hispanic_Latino vs. Multi_racial	Asian vs. Caucasian/African American	1.07341521366	0.29022758537	1	0.313	1.000
Hispanic_Latino vs. Multi_racial	Caucasian vs. Caucasian/African American	-1.19207583418	0.237774353465	1	0.244	1.000
Hispanic_Latino vs. Asian	Hispanic_Latino vs. Caucasian	0.694272799697	0.487767892093	1	0.492	1.000
Hispanic_Latino vs. Asian	Hispanic_Latino vs. Caucasian/African American	1.2851735224	0.200965165977	1	0.199	1.000
Hispanic_Latino vs. Asian	Multi_racial vs. Asian	-3.2438452509	0.00148888135027	0.561308269051	0.002	0.754
Hispanic_Latino vs. Asian	Multi_racial vs. Caucasian	-1.35286255853	0.177741719842	1	0.152	1.000
Hispanic_Latino vs. Asian	Multi_racial vs. Caucasian/African American	-0.505259273611	0.614303476414	1	0.611	1.000
Hispanic_Latino vs. Asian	Asian vs. Caucasian	-4.39187461103	1.44960334627e-05	0.00546500461545	0.001	0.377
Hispanic_Latino vs. Asian	Asian vs. Caucasian/African American	-0.0637491137763	0.949271021463	1	0.959	1.000
Hispanic_Latino vs. Asian	Caucasian vs. Caucasian/African American	-2.54076689582	0.0120636921287	1	0.012	1.000
Hispanic_Latino vs. Caucasian	Hispanic_Latino vs. Caucasian/African American	1.36383511607	0.173206145089	1	0.164	1.000
Hispanic_Latino vs. Caucasian	Multi_racial vs. Asian	-4.44123233401	1.09164137313e-05	0.00411548797669	0.001	0.377
Hispanic_Latino vs. Caucasian	Multi_racial vs. Caucasian	-2.3541180773	0.0189015624987	1	0.017	1.000
Hispanic_Latino vs. Caucasian	Multi_racial vs. Caucasian/African American	-0.735953804807	0.462097155917	1	0.463	1.000
Hispanic_Latino vs. Caucasian	Asian vs. Caucasian	-8.37553669655	2.54227242533e-16	9.58436704348e-14	0.001	0.377
Hispanic_Latino vs. Caucasian	Asian vs. Caucasian/African American	-0.288481399578	0.773094112785	1	0.764	1.000
Hispanic_Latino vs. Caucasian	Caucasian vs. Caucasian/African American	-3.79642577605	0.000163372600589	0.0615914704219	0.001	0.377
Hispanic_Latino vs. Caucasian/African American	Multi_racial vs. Asian	-4.01994730002	0.000378960258049	0.142868017284	0.001	0.377
Hispanic_Latino vs. Caucasian/African American	Multi_racial vs. Caucasian	-3.12432311915	0.00247308720738	0.932353877181	0.003	1.000
Hispanic_Latino vs. Caucasian/African American	Multi_racial vs. Caucasian/African American	-1.13611233432	0.273735929501	1	0.291	1.000
Hispanic_Latino vs. Caucasian/African American	Asian vs. Caucasian	-2.94842601986	0.00345845640638	1	0.006	1.000
Hispanic_Latino vs. Caucasian/African American	Asian vs. Caucasian/African American	-1.07099105586	0.296328618995	1	0.311	1.000
Hispanic_Latino vs. Caucasian/African American	Caucasian vs. Caucasian/African American	-2.97320658032	0.00463759207097	1	0.002	0.754
Multi_racial vs. Asian	Multi_racial vs. Caucasian	4.16930690495	7.5360182995e-05	0.0284107889891	0.002	0.754
Multi_racial vs. Asian	Multi_racial vs. Caucasian/African American	0.831976478831	0.417667119592	1	0.432	1.000
Multi_racial vs. Asian	Asian vs. Caucasian	1.12645076807	0.260919045144	1	0.248	1.000
Multi_racial vs. Asian	Asian vs. Caucasian/African American	2.51251861651	0.0198173715433	1	0.030	1.000
Multi_racial vs. Asian	Caucasian vs. Caucasian/African American	1.3366250528	0.187646360311	1	0.192	1.000
Multi_racial vs. Caucasian	Multi_racial vs. Caucasian/African American	-0.497134002735	0.620698157535	1	0.601	1.000
Multi_racial vs. Caucasian	Asian vs. Caucasian	-2.4829298737	0.0135153174961	1	0.013	1.000
Multi_racial vs. Caucasian	Asian vs. Caucasian/African American	0.774791672927	0.440931478005	1	0.442	1.000
Multi_racial vs. Caucasian	Caucasian vs. Caucasian/African American	-2.17409870418	0.0320569037295	1	0.036	1.000
Multi_racial vs. Caucasian/African American	Asian vs. Caucasian	-0.20708658568	0.836097184105	1	0.850	1.000
Multi_racial vs. Caucasian/African American	Asian vs. Caucasian/African American	0.689617637536	0.509939647277	1	0.529	1.000
Multi_racial vs. Caucasian/African American	Caucasian vs. Caucasian/African American	-0.191106209302	0.84957902845	1	0.848	1.000
Asian vs. Caucasian	Asian vs. Caucasian/African American	1.25177628279	0.211703604954	1	0.222	1.000
Asian vs. Caucasian	Caucasian vs. Caucasian/African American	0.18979229077	0.849598559598	1	0.856	1.000
Asian vs. Caucasian/African American	Caucasian vs. Caucasian/African American	-1.33417767961	0.189692007758	1	0.192	1.000
